"","year","chamber","District","Prez_Dem","Prez_Repub","Gub_Dem","Gub_Repub","US_Sen_Dem","US_Sen_Repub","US_Sen2_Dem","US_Sen2_Repub"
"75",1974,"HS",35,NA,NA,39725,44041,51469,31426,NA,NA
"76",1974,"HS",36,NA,NA,37254,36265,44629,26944,NA,NA
"77",1974,"HS",37,NA,NA,34787,42508,40792,34771,NA,NA
"78",1974,"HS",38,NA,NA,43272,53382,52336,42210,NA,NA
"79",1974,"HS",39,NA,NA,36011,27793,40113,22687,NA,NA
"80",1974,"HS",40,NA,NA,43484,33779,49087,26901,NA,NA
"81",1974,"HS",41,NA,NA,30790,48846,34601,42750,NA,NA
"82",1974,"HS",42,NA,NA,33541,55324,39073,48563,NA,NA
"83",1974,"HS",43,NA,NA,61982,48462,73498,35716,NA,NA
"84",1974,"HS",44,NA,NA,53133,35582,60723,26874,NA,NA
"85",1974,"HS",45,NA,NA,57472,33998,61857,27813,NA,NA
"86",1974,"HS",46,NA,NA,31082,23828,33608,19803,NA,NA
"87",1974,"HS",47,NA,NA,38053,7957,37014,6401,NA,NA
"88",1974,"HS",48,NA,NA,36527,9452,35876,7912,NA,NA
"89",1974,"HS",49,NA,NA,53460,20514,55276,16107,NA,NA
"90",1974,"HS",50,NA,NA,41063,20890,41886,17633,NA,NA
"91",1974,"HS",51,NA,NA,33683,51930,41311,43158,NA,NA
"92",1974,"HS",52,NA,NA,32237,28134,36257,22848,NA,NA
"93",1974,"HS",53,NA,NA,33771,20325,36039,16312,NA,NA
"94",1974,"HS",54,NA,NA,32764,13087,34317,10107,NA,NA
"95",1974,"HS",55,NA,NA,29797,18668,30269,15701,NA,NA
"96",1974,"HS",56,NA,NA,24072,7721,23586,6121,NA,NA
"97",1974,"HS",57,NA,NA,32420,27256,36697,21639,NA,NA
"98",1974,"HS",58,NA,NA,42870,46711,53056,34812,NA,NA
"99",1974,"HS",59,NA,NA,40124,28176,43741,22915,NA,NA
"100",1974,"HS",60,NA,NA,29051,18552,31018,15855,NA,NA
"101",1974,"HS",61,NA,NA,30103,53214,34220,47557,NA,NA
"102",1974,"HS",62,NA,NA,33521,44636,38293,38306,NA,NA
"103",1974,"HS",63,NA,NA,35310,33043,40854,26393,NA,NA
"104",1974,"HS",64,NA,NA,31960,45416,38912,37191,NA,NA
"105",1974,"HS",65,NA,NA,29067,29148,34017,22790,NA,NA
"106",1974,"HS",66,NA,NA,33592,20041,37527,14997,NA,NA
"107",1974,"HS",67,NA,NA,36425,45105,43819,35857,NA,NA
"108",1974,"HS",68,NA,NA,36272,32033,44784,21649,NA,NA
"109",1974,"HS",69,NA,NA,36179,47304,42396,39056,NA,NA
"110",1974,"HS",70,NA,NA,33272,55576,40150,46375,NA,NA
"111",1974,"HS",71,NA,NA,37243,36066,42065,29046,NA,NA
"112",1974,"HS",72,NA,NA,32469,32475,35025,28434,NA,NA
"113",1974,"HS",73,NA,NA,41821,56916,51712,44515,NA,NA
"114",1974,"HS",74,NA,NA,36003,76122,47841,62025,NA,NA
"115",1974,"HS",75,NA,NA,36014,46522,41357,38845,NA,NA
"116",1974,"HS",76,NA,NA,46692,78588,56962,65052,NA,NA
"117",1974,"HS",77,NA,NA,41497,53773,49604,43019,NA,NA
"118",1974,"HS",78,NA,NA,39426,45876,46470,37001,NA,NA
"119",1974,"HS",79,NA,NA,30330,23220,32784,19316,NA,NA
"120",1974,"HS",80,NA,NA,29706,31991,35139,25106,NA,NA
"121",1976,"SEN",1,117639,116722,NA,NA,101439,110284,NA,NA
"122",1976,"SEN",2,114341,113306,NA,NA,110734,116780,NA,NA
"123",1976,"SEN",3,113647,97441,NA,NA,96473,109773,NA,NA
"124",1976,"SEN",4,111908,105272,NA,NA,104955,110345,NA,NA
"125",1976,"SEN",5,89551,63779,NA,NA,98810,54853,NA,NA
"126",1976,"SEN",6,92605,89120,NA,NA,98204,84955,NA,NA
"127",1976,"SEN",7,114099,104470,NA,NA,110860,107459,NA,NA
"128",1976,"SEN",8,102235,71420,NA,NA,95701,72281,NA,NA
"129",1976,"SEN",9,117878,84455,NA,NA,121353,77639,NA,NA
"130",1976,"SEN",10,98857,113536,NA,NA,102430,108343,NA,NA
"131",1976,"SEN",11,103056,92783,NA,NA,93068,100961,NA,NA
"132",1976,"SEN",12,89174,105732,NA,NA,85369,109594,NA,NA
"133",1976,"SEN",13,101406,97557,NA,NA,89994,104404,NA,NA
"134",1976,"SEN",14,89152,71931,NA,NA,78601,73564,NA,NA
"135",1976,"SEN",15,79512,92717,NA,NA,72706,93112,NA,NA
"136",1976,"SEN",16,76366,95290,NA,NA,69598,92594,NA,NA
"137",1976,"SEN",17,102566,104788,NA,NA,93046,110207,NA,NA
"138",1976,"SEN",18,97683,104467,NA,NA,96577,104095,NA,NA
"139",1976,"SEN",19,93122,136360,NA,NA,86293,123612,NA,NA
"140",1976,"SEN",20,89106,83272,NA,NA,76488,73590,NA,NA
"141",1976,"SEN",21,77170,126461,NA,NA,65899,107115,NA,NA
"142",1976,"SEN",22,130550,115449,NA,NA,134722,85912,NA,NA
"143",1976,"SEN",23,98820,73411,NA,NA,89157,58981,NA,NA
"144",1976,"SEN",24,57682,32520,NA,NA,46759,28289,NA,NA
"145",1976,"SEN",25,74531,122911,NA,NA,62399,102822,NA,NA
"146",1976,"SEN",26,77250,60365,NA,NA,61750,53465,NA,NA
"147",1976,"SEN",27,75093,113049,NA,NA,66438,95609,NA,NA
"148",1976,"SEN",28,79372,43307,NA,NA,61631,39363,NA,NA
"149",1976,"SEN",29,83372,21300,NA,NA,67790,17317,NA,NA
"150",1976,"SEN",30,114472,53207,NA,NA,99380,45606,NA,NA
"151",1976,"SEN",31,88679,90526,NA,NA,74442,79059,NA,NA
"152",1976,"SEN",32,78056,68420,NA,NA,74062,62940,NA,NA
"153",1976,"SEN",33,80752,105194,NA,NA,70579,90158,NA,NA
"154",1976,"SEN",34,94414,100914,NA,NA,97680,95201,NA,NA
"155",1976,"SEN",35,77240,139881,NA,NA,80470,145577,NA,NA
