"","year","chamber","District","Dem","Repub","incumbency","incumbentparty","dummyparty"
"131",1996,"HS",2,0,77827,1,-1,-1
"132",1998,"HS",2,50202,0,0,0,1
"133",2000,"HS",2,38281,104614,1,-1,0
"134",2002,"HS",2,34524,0,0,0,1
"135",2004,"HS",2,62643,115651,1,-1,0
"136",2006,"HS",2,0,95723,1,-1,-1
"137",2012,"HS",2,65302,0,0,0,1
"138",2014,"HS",2,66402,24501,0,0,0
"139",1974,"SEN",2,0,97704,1,-1,-1
"140",1978,"SEN",2,0,99119,0,0,-1
"141",1982,"SEN",2,0,79790,0,0,-1
"142",1986,"SEN",2,0,84580,0,0,-1
"143",1990,"SEN",2,126552,107864,1,1,0
"144",1994,"SEN",2,0,95275,0,0,-1
"145",1998,"SEN",2,137728,0,0,0,1
"146",2002,"SEN",2,0,80079,0,0,-1
"147",2006,"SEN",2,187035,97611,0,0,0
"148",2014,"SEN",2,153358,102706,0,0,0
"149",1974,"HS",3,41972,0,0,0,1
"150",1978,"HS",3,36544,69556,1,-1,0
"151",1980,"HS",3,0,75547,0,0,-1
"152",1984,"HS",3,37305,90249,1,-1,0
"153",1986,"HS",3,44309,58399,0,0,0
"154",1988,"HS",3,0,79681,1,-1,-1
"155",1992,"HS",3,0,85685,0,0,-1
"156",1994,"HS",3,48796,84340,1,-1,0
"157",1996,"HS",3,59159,94765,1,-1,0
"158",2000,"HS",3,52978,0,0,0,1
"159",2002,"HS",3,0,78225,0,0,-1
"160",2004,"HS",3,70126,0,0,0,1
"161",2006,"HS",3,56101,87758,1,-1,0
"162",2010,"HS",3,0,84069,1,-1,-1
"163",2012,"HS",3,69265,86692,1,-1,0
"164",2014,"HS",3,57760,75626,0,0,0
"165",1976,"SEN",3,155403,0,1,1,1
"166",1988,"SEN",3,164608,76798,1,1,0
"167",1996,"SEN",3,0,72097,0,0,-1
"168",2000,"SEN",3,0,71256,0,0,-1
"169",2004,"SEN",3,258166,98332,0,0,0
"170",2008,"SEN",3,326755,80617,0,0,0
"171",1974,"HS",4,0,36820,0,0,-1
"172",1976,"HS",4,74733,26662,0,0,0
"173",1980,"HS",4,76013,0,1,1,1
"174",1982,"HS",4,64904,28121,1,1,0
"175",1990,"HS",4,0,38582,0,0,-1
"176",1992,"HS",4,64400,0,0,0,1
"177",1994,"HS",4,47700,0,0,0,1
"178",1996,"HS",4,76193,0,0,0,1
"179",1998,"HS",4,0,103688,1,-1,-1
"180",2002,"HS",4,45722,91022,1,-1,0
"181",2006,"HS",4,57401,96958,0,0,0
"182",2008,"HS",4,0,166736,1,-1,-1
"183",2010,"HS",4,68306,0,0,0,1
"184",2014,"HS",4,47049,14011,0,0,0
"185",1974,"SEN",4,103969,0,0,0,1
"186",1978,"SEN",4,94448,0,1,1,1
"187",1982,"SEN",4,84565,0,0,0,1
"188",1986,"SEN",4,82733,150060,1,-1,0
"189",1990,"SEN",4,125573,123066,1,-1,0
"190",1994,"SEN",4,111667,133101,0,0,0
"191",2002,"SEN",4,92786,0,0,0,1
"192",2010,"SEN",4,105460,226239,0,0,0
"193",2014,"SEN",4,108219,170082,0,0,0
"194",1974,"HS",5,45873,0,0,0,1
"195",1976,"HS",5,0,27518,0,0,-1
"196",1978,"HS",5,35463,57475,0,0,0
"197",1982,"HS",5,0,48810,0,0,-1
"198",1984,"HS",5,70450,0,1,1,1
"199",1986,"HS",5,46289,0,0,0,1
"200",1988,"HS",5,64248,93188,1,-1,0
"201",1990,"HS",5,49682,82757,1,-1,0
"202",1992,"HS",5,0,93833,0,0,-1
"203",1998,"HS",5,51150,0,0,0,1
"204",2002,"HS",5,37277,0,0,0,1
"205",2004,"HS",5,0,104895,0,0,-1
"206",2006,"HS",5,48325,0,0,0,1
"207",2008,"HS",5,71733,0,0,0,1
"208",2010,"HS",5,0,71910,0,0,-1
"209",2012,"HS",5,0,82293,0,0,-1
"210",2014,"HS",5,0,95390,1,-1,-1
"211",1976,"SEN",5,0,73812,1,-1,-1
"212",1984,"SEN",5,0,70919,0,0,-1
"213",1988,"SEN",5,184171,82310,1,1,0
"214",1992,"SEN",5,162122,0,0,0,1
"215",2004,"SEN",5,154519,141539,1,1,0
"216",2008,"SEN",5,207108,113778,0,0,0
"217",1974,"HS",6,64472,27665,1,1,0
"218",1980,"HS",6,0,49617,0,0,-1
"219",1982,"HS",6,78356,0,0,0,1
"220",1986,"HS",6,72017,36167,1,1,0
"221",1990,"HS",6,61721,0,1,1,1
"222",1994,"HS",6,0,55006,0,0,-1
"223",1996,"HS",6,0,49367,0,0,-1
"224",1998,"HS",6,0,45237,0,0,-1
"225",2000,"HS",6,113439,48163,0,0,0
"226",2002,"HS",6,0,37375,0,0,-1
"227",2006,"HS",6,106589,43864,0,0,0
"228",2008,"HS",6,0,50053,0,0,-1
"229",2012,"HS",6,0,128465,0,0,-1
"230",2014,"HS",6,27813,53778,1,-1,0
"231",1974,"SEN",6,0,30727,0,0,-1
"232",1978,"SEN",6,96764,45430,0,0,0
"233",1982,"SEN",6,0,113444,1,-1,-1
"234",1990,"SEN",6,0,95380,0,0,-1
"235",1998,"SEN",6,0,96227,0,0,-1
"236",2006,"SEN",6,115628,71051,0,0,0
"237",2014,"SEN",6,57062,15355,0,0,0
"238",1974,"HS",7,60380,33842,0,0,0
"239",1978,"HS",7,76220,0,1,1,1
"240",1982,"HS",7,85225,37440,1,1,0
"241",1986,"HS",7,0,38490,0,0,-1
"242",1990,"HS",7,0,82862,0,0,-1
"243",1992,"HS",7,99269,0,0,0,1
"244",1994,"HS",7,73389,0,1,1,1
"245",1996,"HS",7,89864,0,1,1,1
"246",2000,"HS",7,0,45563,0,0,-1
"247",2004,"HS",7,101130,0,0,0,1
"248",2010,"HS",7,86641,0,0,0,1
"249",2014,"HS",7,87763,4869,0,0,0
"250",1976,"SEN",7,73797,0,0,0,1
"251",1980,"SEN",7,150014,67769,0,0,0
"252",1988,"SEN",7,172875,104148,1,1,0
"253",1992,"SEN",7,195777,141709,1,1,0
"254",1996,"SEN",7,160632,0,0,0,1
